title,text,subject,date
Real News 0,Doctors recommend regular exercise for health,News,2024-01-01
Real News 1,New highway project approved by parliament,News,2024-01-01
Real News 2,New highway project approved by parliament,News,2024-01-01
Real News 3,New highway project approved by parliament,News,2024-01-01
Real News 4,Scientists discovered new species in ocean,News,2024-01-01
Real News 5,India launched a new satellite successfully,News,2024-01-01
Real News 6,Medical researchers developed new vaccine,News,2024-01-01
Real News 7,Doctors recommend regular exercise for health,News,2024-01-01
Real News 8,India launched a new satellite successfully,News,2024-01-01
Real News 9,Scientists discovered new species in ocean,News,2024-01-01
Real News 10,India launched a new satellite successfully,News,2024-01-01
Real News 11,New highway project approved by parliament,News,2024-01-01
Real News 12,Medical researchers developed new vaccine,News,2024-01-01
Real News 13,New technology released for renewable energy,News,2024-01-01
Real News 14,New highway project approved by parliament,News,2024-01-01
Real News 15,Stock market shows steady growth this year,News,2024-01-01
Real News 16,Doctors recommend regular exercise for health,News,2024-01-01
Real News 17,New highway project approved by parliament,News,2024-01-01
Real News 18,Medical researchers developed new vaccine,News,2024-01-01
Real News 19,Government announced new education policy,News,2024-01-01
Real News 20,India launched a new satellite successfully,News,2024-01-01
Real News 21,Doctors recommend regular exercise for health,News,2024-01-01
Real News 22,India launched a new satellite successfully,News,2024-01-01
Real News 23,New technology released for renewable energy,News,2024-01-01
Real News 24,Medical researchers developed new vaccine,News,2024-01-01
Real News 25,New technology released for renewable energy,News,2024-01-01
Real News 26,New technology released for renewable energy,News,2024-01-01
Real News 27,Doctors recommend regular exercise for health,News,2024-01-01
Real News 28,New technology released for renewable energy,News,2024-01-01
Real News 29,Scientists discovered new species in ocean,News,2024-01-01
Real News 30,Scientists discovered new species in ocean,News,2024-01-01
Real News 31,Doctors recommend regular exercise for health,News,2024-01-01
Real News 32,Doctors recommend regular exercise for health,News,2024-01-01
Real News 33,New highway project approved by parliament,News,2024-01-01
Real News 34,Scientists discovered new species in ocean,News,2024-01-01
Real News 35,Stock market shows steady growth this year,News,2024-01-01
Real News 36,New technology released for renewable energy,News,2024-01-01
Real News 37,Doctors recommend regular exercise for health,News,2024-01-01
Real News 38,India launched a new satellite successfully,News,2024-01-01
Real News 39,New technology released for renewable energy,News,2024-01-01
Real News 40,Stock market shows steady growth this year,News,2024-01-01
Real News 41,India launched a new satellite successfully,News,2024-01-01
Real News 42,Government announced new education policy,News,2024-01-01
Real News 43,New highway project approved by parliament,News,2024-01-01
Real News 44,India launched a new satellite successfully,News,2024-01-01
Real News 45,Medical researchers developed new vaccine,News,2024-01-01
Real News 46,Medical researchers developed new vaccine,News,2024-01-01
Real News 47,New highway project approved by parliament,News,2024-01-01
Real News 48,New technology released for renewable energy,News,2024-01-01
Real News 49,New highway project approved by parliament,News,2024-01-01
Real News 50,New highway project approved by parliament,News,2024-01-01
Real News 51,Medical researchers developed new vaccine,News,2024-01-01
Real News 52,India launched a new satellite successfully,News,2024-01-01
Real News 53,New technology released for renewable energy,News,2024-01-01
Real News 54,Scientists discovered new species in ocean,News,2024-01-01
Real News 55,Scientists discovered new species in ocean,News,2024-01-01
Real News 56,Stock market shows steady growth this year,News,2024-01-01
Real News 57,Medical researchers developed new vaccine,News,2024-01-01
Real News 58,Doctors recommend regular exercise for health,News,2024-01-01
Real News 59,Medical researchers developed new vaccine,News,2024-01-01
Real News 60,Doctors recommend regular exercise for health,News,2024-01-01
Real News 61,Scientists discovered new species in ocean,News,2024-01-01
Real News 62,New technology released for renewable energy,News,2024-01-01
Real News 63,India launched a new satellite successfully,News,2024-01-01
