title,text,subject,date
Fake News 0,Secret island discovered with magical powers,News,2024-01-01
Fake News 1,Aliens landed in India yesterday,News,2024-01-01
Fake News 2,Secret island discovered with magical powers,News,2024-01-01
Fake News 3,Earth will end tomorrow according to scientists,News,2024-01-01
Fake News 4,Phones are spying on every human 24/7,News,2024-01-01
Fake News 5,Eating chocolate increases IQ instantly,News,2024-01-01
Fake News 6,Scientists confirm dinosaurs are still alive,News,2024-01-01
Fake News 7,Phones are spying on every human 24/7,News,2024-01-01
Fake News 8,Aliens landed in India yesterday,News,2024-01-01
Fake News 9,Aliens landed in India yesterday,News,2024-01-01
Fake News 10,Drinking only coffee cures all diseases,News,2024-01-01
Fake News 11,Earth will end tomorrow according to scientists,News,2024-01-01
Fake News 12,Phones are spying on every human 24/7,News,2024-01-01
Fake News 13,Scientists confirm dinosaurs are still alive,News,2024-01-01
Fake News 14,Scientists confirm dinosaurs are still alive,News,2024-01-01
Fake News 15,Earth will end tomorrow according to scientists,News,2024-01-01
Fake News 16,Government secretly giving money to everyone,News,2024-01-01
Fake News 17,Secret island discovered with magical powers,News,2024-01-01
Fake News 18,Earth will end tomorrow according to scientists,News,2024-01-01
Fake News 19,Earth will end tomorrow according to scientists,News,2024-01-01
Fake News 20,Drinking only coffee cures all diseases,News,2024-01-01
Fake News 21,Secret island discovered with magical powers,News,2024-01-01
Fake News 22,Government secretly giving money to everyone,News,2024-01-01
Fake News 23,Secret island discovered with magical powers,News,2024-01-01
Fake News 24,Phones are spying on every human 24/7,News,2024-01-01
Fake News 25,Scientists confirm dinosaurs are still alive,News,2024-01-01
Fake News 26,Phones are spying on every human 24/7,News,2024-01-01
Fake News 27,Phones are spying on every human 24/7,News,2024-01-01
Fake News 28,Scientists confirm dinosaurs are still alive,News,2024-01-01
Fake News 29,Drinking only coffee cures all diseases,News,2024-01-01
Fake News 30,Drinking only coffee cures all diseases,News,2024-01-01
Fake News 31,Eating chocolate increases IQ instantly,News,2024-01-01
Fake News 32,Scientists confirm dinosaurs are still alive,News,2024-01-01
Fake News 33,Scientists confirm dinosaurs are still alive,News,2024-01-01
Fake News 34,Secret island discovered with magical powers,News,2024-01-01
Fake News 35,Government secretly giving money to everyone,News,2024-01-01
Fake News 36,Scientists confirm dinosaurs are still alive,News,2024-01-01
Fake News 37,Secret island discovered with magical powers,News,2024-01-01
Fake News 38,Earth will end tomorrow according to scientists,News,2024-01-01
Fake News 39,Aliens landed in India yesterday,News,2024-01-01
Fake News 40,Drinking only coffee cures all diseases,News,2024-01-01
Fake News 41,Secret island discovered with magical powers,News,2024-01-01
Fake News 42,Phones are spying on every human 24/7,News,2024-01-01
Fake News 43,Drinking only coffee cures all diseases,News,2024-01-01
Fake News 44,Aliens landed in India yesterday,News,2024-01-01
Fake News 45,Earth will end tomorrow according to scientists,News,2024-01-01
Fake News 46,Earth will end tomorrow according to scientists,News,2024-01-01
Fake News 47,Earth will end tomorrow according to scientists,News,2024-01-01
Fake News 48,Scientists confirm dinosaurs are still alive,News,2024-01-01
Fake News 49,Secret island discovered with magical powers,News,2024-01-01
Fake News 50,Phones are spying on every human 24/7,News,2024-01-01
Fake News 51,Earth will end tomorrow according to scientists,News,2024-01-01
Fake News 52,Scientists confirm dinosaurs are still alive,News,2024-01-01
Fake News 53,Eating chocolate increases IQ instantly,News,2024-01-01
Fake News 54,Government secretly giving money to everyone,News,2024-01-01
Fake News 55,Earth will end tomorrow according to scientists,News,2024-01-01
Fake News 56,Aliens landed in India yesterday,News,2024-01-01
Fake News 57,Secret island discovered with magical powers,News,2024-01-01
Fake News 58,Aliens landed in India yesterday,News,2024-01-01
Fake News 59,Earth will end tomorrow according to scientists,News,2024-01-01
Fake News 60,Earth will end tomorrow according to scientists,News,2024-01-01
Fake News 61,Earth will end tomorrow according to scientists,News,2024-01-01
Fake News 62,Phones are spying on every human 24/7,News,2024-01-01
Fake News 63,Eating chocolate increases IQ instantly,News,2024-01-01
Fake News 64,Secret island discovered with magical powers,News,2024-01-01
Fake News 65,Eating chocolate increases IQ instantly,News,2024-01-01
Fake News 66,Phones are spying on every human 24/7,News,2024-01-01
Fake News 67,Earth will end tomorrow according to scientists,News,2024-01-01
Fake News 68,Scientists confirm dinosaurs are still alive,News,2024-01-01
Fake News 69,Earth will end tomorrow according to scientists,News,2024-01-01
Fake News 70,Aliens landed in India yesterday,News,2024-01-01
Fake News 71,Phones are spying on every human 24/7,News,2024-01-01
Fake News 72,Eating chocolate increases IQ instantly,News,2024-01-01
Fake News 73,Drinking only coffee cures all diseases,News,2024-01-01
Fake News 74,Phones are spying on every human 24/7,News,2024-01-01
Fake News 75,Phones are spying on every human 24/7,News,2024-01-01
Fake News 76,Eating chocolate increases IQ instantly,News,2024-01-01
Fake News 77,Scientists confirm dinosaurs are still alive,News,2024-01-01
Fake News 78,Secret island discovered with magical powers,News,2024-01-01
Fake News 79,Government secretly giving money to everyone,News,2024-01-01
Fake News 80,Aliens landed in India yesterday,News,2024-01-01
Fake News 81,Drinking only coffee cures all diseases,News,2024-01-01
